"","error_min","error_max","error_mean(sd)","error_median(Q1-Q3)","loglambda_min","loglambda_max","loglambda_mean(sd)","loglambda_median(Q1-Q3)","nvar_min","nvar_max","nvar_mean(sd)","nvar_median(Q1-Q3)"
"True (pop)","0.4621","0.504","0.4821 (0.0072)","0.4818 (0.4775, 0.4868)","-5.5548","-2.7941","-4.0509 (0.3804)","-4.0713 (-4.3033, -3.806)","15","43","27.736 (6.0049)","28 (23, 32)"
"JKn","0.4677","0.599","0.4908 (0.0129)","0.488 (0.4826, 0.4969)","-5.5852","-2.7254","-3.978 (0.5314)","-3.9269 (-4.3663, -3.5564)","2","48","25.922 (9.1857)","25 (19, 33)"
"dCV","0.4672","0.5793","0.4905 (0.0124)","0.4881 (0.4825, 0.4958)","-5.3868","-2.8184","-3.9482 (0.5117)","-3.8767 (-4.3503, -3.5288)","2","47","25.704 (8.925)","25 (19, 32.25)"
"Bootstrap","0.4651","0.6099","0.493 (0.0151)","0.4903 (0.4833, 0.4996)","-5.5852","-3.9348","-4.7436 (0.2684)","-4.7397 (-4.9179, -4.5508)","17","48","37.416 (5.0694)","38 (34, 41)"
"BRR","0.4675","0.5608","0.4922 (0.013)","0.4893 (0.4832, 0.4981)","-4.714","-2.4462","-3.5135 (0.3424)","-3.4675 (-3.7022, -3.2797)","1","41","19.85 (6.7029)","19 (15, 23.25)"
"Split R=20 (cv)","0.4663","0.5624","0.491 (0.0128)","0.4885 (0.4826, 0.4958)","-5.027","-2.8077","-3.6849 (0.424)","-3.6185 (-3.9488, -3.3621)","5","44","22.36 (7.9224)","22 (16, 27)"
"Split R=20 (boot)","0.4671","0.568","0.4913 (0.0125)","0.4884 (0.4831, 0.4962)","-5.12","-2.6448","-3.6432 (0.4128)","-3.593 (-3.8835, -3.339)","5","41","21.742 (7.6585)","21 (16, 26)"
"Extrap. R=20","0.475","0.5879","0.51 (0.0204)","0.506 (0.4957, 0.5195)","-3.816","-2.1189","-2.9057 (0.2239)","-2.8931 (-3.0359, -2.7605)","0","31","12.244 (5.0182)","12 (9, 15)"
"SRSCV (K=10)","0.4671","0.599","0.4906 (0.0134)","0.4879 (0.4824, 0.4962)","-5.6455","-2.3774","-4.0371 (0.5158)","-4.0242 (-4.398, -3.6213)","1","47","26.93 (8.8721)","26 (20, 34)"
"Unw (K=10)","0.4848","0.6819","0.5325 (0.0238)","0.5299 (0.5161, 0.5454)","-6.9997","-5.9127","-6.5794 (0.2159)","-6.5861 (-6.7378, -6.4284)","42","50","47.986 (1.4317)","48 (47, 49)"
