"","error_min","error_max","error_mean(sd)","error_median(Q1-Q3)","loglambda_min","loglambda_max","loglambda_mean(sd)","loglambda_median(Q1-Q3)","nvar_min","nvar_max","nvar_mean(sd)","nvar_median(Q1-Q3)"
"True (pop)","240.5454","266.158","252.3383 (4.7342)","252.5072 (248.9175, 255.3903)","-4.7804","0.9236","-0.9214 (0.6037)","-0.8994 (-1.2345, -0.5837)","16","50","37.604 (6.3652)","39 (34, 42)"
"JKn","240.7326","283.6988","256.2066 (6.8441)","255.5308 (251.4923, 260.0369)","-4.4945","0.786","-0.7692 (0.7611)","-0.7274 (-1.2493, -0.2075)","12","50","33.632 (9.6822)","35 (26, 42)"
"dCV","240.8757","285.3304","256.266 (6.7718)","255.6442 (251.6152, 260.0992)","-4.799","0.786","-0.7098 (0.7507)","-0.702 (-1.173, -0.1571)","12","50","33.316 (9.6217)","34.5 (25, 41)"
"Bootstrap","241.0426","284.291","254.5549 (6.3608)","254.0683 (250.0399, 258.0521)","-2.3547","-0.6288","-1.3517 (0.3021)","-1.3381 (-1.5494, -1.1552)","28","50","41.784 (4.0727)","42 (39, 45)"
"BRR","242.9538","304.8004","258.8414 (7.5573)","258.1678 (254.0394, 262.8229)","-2.3547","0.9269","-0.0787 (0.4844)","-0.0246 (-0.4069, 0.2999)","6","48","26.126 (8.3281)","25 (19, 32.25)"
"Split R=20 (cv)","240.7326","291.1815","257.2988 (7.1676)","256.5447 (252.5323, 261.0216)","-1.9718","0.9269","-0.3287 (0.5518)","-0.2888 (-0.7245, 0.1053)","10","48","29.384 (8.9618)","29 (22, 37)"
"Split R=20 (boot)","241.737","303.0853","257.856 (7.3967)","256.9279 (253.1754, 261.6161)","-3.2743","1.1129","-0.2811 (0.5848)","-0.2418 (-0.6825, 0.1798)","7","50","28.7 (8.9804)","27 (21.75, 36)"
"Extrap. R=20","253.4862","329.7034","276.7632 (12.3197)","275.4933 (267.7558, 283.7354)","-0.1114","1.6306","0.9045 (0.1866)","0.9137 (0.7964, 1.0213)","0","26","13.614 (4.1162)","13 (11, 16)"
"SRSCV (K=10)","240.9868","290.8345","255.7954 (6.2988)","255.2763 (251.5303, 259.4349)","-3.3061","0.561","-0.8058 (0.6693)","-0.7617 (-1.2383, -0.3201)","12","50","34.414 (8.8253)","35 (28, 42)"
"Unw (K=10)","242.0407","296.9234","259.9907 (8.3558)","259.0464 (253.8964, 265.4333)","-4.8733","-2.2021","-4.0795 (0.6354)","-4.271 (-4.6266, -3.6292)","44","50","49.32 (0.9713)","50 (49, 50)"
